#ResPipeUI	ARO_accession	ARO_name	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	Antibiotic	Efflux_Component	Efflux_Regulator	CVTERMID	gb	Species	SeqLength
3003223_U00096	ARO:3003223	Escherichia coli 16S rRNA mutation conferring resistance to edeine	16s_rRNA_with_mutation_conferring_resistance_to_peptide_antibiotics	aminoglycoside_antibiotic;glycopeptide_antibiotic;glycylcycline;nucleoside_antibiotic;peptide_antibiotic;tetracycline_antibiotic	antibiotic_target_alteration	astromicin;neomycin;dibekacin;streptothricin;amikacin;gentamicin_C;ribostamycin;butirosin;tigecycline;sisomicin;apramycin;netilmicin;spectinomycin;streptomycin;kanamycin_A;tetracycline;tobramycin;doxycycline;confers_resistance_to_drug__edeine_A;confers_resistance_to_drug__edeine_B;confers_resistance_to_drug__edeine_D;confers_resistance_to_drug__edeine_F;minocycline;hygromycin_B;chlortetracycline;isepamicin;G418;arbekacin;gentamicin_B;paromomycin;demeclocycline;oxytetracycline;bleomycinic_acid;bleomycin_A2;bleomycin_B2;lividomycin_A;lividomycin_B	Unassigned	Unassigned	39807	U00096	Escherichia coli K-12	1542
3004131_AE014075.1	ARO:3004131	Escherichia coli 23S rRNA with mutation conferring resistance to erythromycin and telithromycin	23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics	glycopeptide_antibiotic;lincosamide_antibiotic;macrolide_antibiotic;phenicol_antibiotic;pleuromutilin_antibiotic;streptogramin_antibiotic	antibiotic_target_alteration	confers_resistance_to_drug__erythromycin;lincomycin;confers_resistance_to_drug__telithromycin;clindamycin;azidamfenicol;chloramphenicol;thiamphenicol;florfenicol;pristinamycin_IA;quinupristin;pristinamycin_IIA;madumycin_II;griseoviridin;dalfopristin;pristinamycin_IB;virginiamycin_S2;vernamycin_B-gamma;vernamycin_C;patricin_A;ostreogrycin_B3;bleomycinic_acid;bleomycin_A2;bleomycin_B2	Unassigned	Unassigned	41258	AE014075.1	Escherichia coli CFT073	2904
3003236_CU458896.1	ARO:3003236	Mycobacteroides abscessus 16S rRNA mutation conferring resistance to kanamycin	16s_rRNA_with_mutation_conferring_resistance_to_aminoglycoside_antibiotics	aminoglycoside_antibiotic;glycopeptide_antibiotic;glycylcycline;nucleoside_antibiotic;peptide_antibiotic;tetracycline_antibiotic	antibiotic_target_alteration	astromicin;neomycin;dibekacin;streptothricin;amikacin;gentamicin_C;ribostamycin;butirosin;tigecycline;sisomicin;apramycin;netilmicin;spectinomycin;streptomycin;confers_resistance_to_drug__kanamycin_A;tetracycline;tobramycin;doxycycline;minocycline;hygromycin_B;chlortetracycline;isepamicin;G418;arbekacin;gentamicin_B;paromomycin;demeclocycline;oxytetracycline;bleomycinic_acid;bleomycin_A2;bleomycin_B2;lividomycin_A;lividomycin_B	Unassigned	Unassigned	39820	CU458896.1	Mycobacteroides abscessus	1504
3003514_NR_114659.1	ARO:3003514	Mycobacteroides chelonae 16S rRNA mutation conferring resistance to amikacin	16s_rRNA_with_mutation_conferring_resistance_to_aminoglycoside_antibiotics	aminoglycoside_antibiotic;glycopeptide_antibiotic;glycylcycline;nucleoside_antibiotic;peptide_antibiotic;tetracycline_antibiotic	antibiotic_target_alteration	astromicin;neomycin;dibekacin;streptothricin;confers_resistance_to_drug__amikacin;gentamicin_C;ribostamycin;butirosin;tigecycline;sisomicin;apramycin;netilmicin;spectinomycin;streptomycin;kanamycin_A;tetracycline;tobramycin;doxycycline;minocycline;hygromycin_B;chlortetracycline;isepamicin;G418;arbekacin;gentamicin_B;paromomycin;demeclocycline;oxytetracycline;bleomycinic_acid;bleomycin_A2;bleomycin_B2;lividomycin_A;lividomycin_B	Unassigned	Unassigned	40116	NR_114659.1	Mycobacterium	1441
3003480_AL123456.3	ARO:3003480	Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to streptomycin	16s_rRNA_with_mutation_conferring_resistance_to_aminoglycoside_antibiotics	aminoglycoside_antibiotic;glycopeptide_antibiotic;glycylcycline;nucleoside_antibiotic;peptide_antibiotic;tetracycline_antibiotic	antibiotic_target_alteration	astromicin;neomycin;dibekacin;streptothricin;amikacin;gentamicin_C;ribostamycin;butirosin;tigecycline;sisomicin;apramycin;netilmicin;spectinomycin;confers_resistance_to_drug__streptomycin;kanamycin_A;tetracycline;tobramycin;doxycycline;minocycline;hygromycin_B;chlortetracycline;isepamicin;G418;arbekacin;gentamicin_B;paromomycin;demeclocycline;oxytetracycline;bleomycinic_acid;bleomycin_A2;bleomycin_B2;lividomycin_A;lividomycin_B	Unassigned	Unassigned	40076	AL123456.3	Mycobacterium tuberculosis H37Rv	1537
3003541_NC_008596.1	ARO:3003541	Mycolicibacterium smegmatis 16S rRNA (rrsB) mutation conferring resistance to streptomycin	16s_rRNA_with_mutation_conferring_resistance_to_aminoglycoside_antibiotics	aminoglycoside_antibiotic;glycopeptide_antibiotic;glycylcycline;nucleoside_antibiotic;peptide_antibiotic;tetracycline_antibiotic	antibiotic_target_alteration	astromicin;neomycin;dibekacin;streptothricin;amikacin;gentamicin_C;ribostamycin;butirosin;tigecycline;sisomicin;apramycin;netilmicin;spectinomycin;confers_resistance_to_drug__streptomycin;kanamycin_A;tetracycline;tobramycin;doxycycline;minocycline;hygromycin_B;chlortetracycline;isepamicin;G418;arbekacin;gentamicin_B;paromomycin;demeclocycline;oxytetracycline;bleomycinic_acid;bleomycin_A2;bleomycin_B2;lividomycin_A;lividomycin_B	Unassigned	Unassigned	40143	NC_008596.1	Mycolicibacterium smegmatis MC2 155	1528
3003539_NC_008596.1	ARO:3003539	Mycolicibacterium smegmatis 16S rRNA (rrsA) mutation conferring resistance to hygromycin B	16s_rRNA_with_mutation_conferring_resistance_to_aminoglycoside_antibiotics	aminoglycoside_antibiotic;glycopeptide_antibiotic;glycylcycline;nucleoside_antibiotic;peptide_antibiotic;tetracycline_antibiotic	antibiotic_target_alteration	astromicin;neomycin;dibekacin;streptothricin;amikacin;gentamicin_C;ribostamycin;butirosin;tigecycline;sisomicin;apramycin;netilmicin;spectinomycin;streptomycin;kanamycin_A;tetracycline;tobramycin;doxycycline;minocycline;confers_resistance_to_drug__hygromycin_B;chlortetracycline;isepamicin;G418;arbekacin;gentamicin_B;paromomycin;demeclocycline;oxytetracycline;bleomycinic_acid;bleomycin_A2;bleomycin_B2;lividomycin_A;lividomycin_B	Unassigned	Unassigned	40141	NC_008596.1	Mycolicibacterium smegmatis MC2 155	1529
3004059_AE004091.2	ARO:3004059	Type A NfxB	resistance-nodulation-cell_division_(RND)_antibiotic_efflux_pump	acridine_dye;aminocoumarin_antibiotic;aminoglycoside_antibiotic;antibacterial_free_fatty_acids;carbapenem;cephalosporin;diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;glycylcycline;macrolide_antibiotic;monobactam;penam;phenicol_antibiotic;tetracycline_antibiotic;triclosan	antibiotic_efflux	erythromycin;tetracycline;novobiocin;trimethoprim;chloramphenicol;ofloxacin	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	protein(s)_and_two-component_regulatory_system_modulating_antibiotic_efflux	41125	AE004091.2	Pseudomonas aeruginosa PAO1	564
3003502_NR_044732.2	ARO:3003502	Borreliella burgdorferi 16S rRNA mutation conferring resistance to spectinomycin	16s_rRNA_with_mutation_conferring_resistance_to_aminoglycoside_antibiotics	aminoglycoside_antibiotic;glycopeptide_antibiotic;glycylcycline;nucleoside_antibiotic;peptide_antibiotic;tetracycline_antibiotic	antibiotic_target_alteration	astromicin;neomycin;dibekacin;streptothricin;amikacin;gentamicin_C;ribostamycin;butirosin;tigecycline;sisomicin;apramycin;netilmicin;confers_resistance_to_drug__spectinomycin;streptomycin;kanamycin_A;tetracycline;tobramycin;doxycycline;minocycline;hygromycin_B;chlortetracycline;isepamicin;G418;arbekacin;gentamicin_B;paromomycin;demeclocycline;oxytetracycline;bleomycinic_acid;bleomycin_A2;bleomycin_B2;lividomycin_A;lividomycin_B	Unassigned	Unassigned	40104	NR_044732.2	Borreliella burgdorferi	1477
3000808_AE004091.2	ARO:3000808	MexI	resistance-nodulation-cell_division_(RND)_antibiotic_efflux_pump	acridine_dye;aminocoumarin_antibiotic;aminoglycoside_antibiotic;antibacterial_free_fatty_acids;carbapenem;diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;glycylcycline;macrolide_antibiotic;monobactam;penam;phenicol_antibiotic;tetracycline_antibiotic;triclosan	antibiotic_efflux	acriflavine;tetracycline;norfloxacin	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	Unassigned	37188	AE004091.2	Pseudomonas aeruginosa PAO1	3090
3000377_AE004091.2	ARO:3000377	MexA	resistance-nodulation-cell_division_(RND)_antibiotic_efflux_pump	acridine_dye;aminocoumarin_antibiotic;aminoglycoside_antibiotic;antibacterial_free_fatty_acids;carbapenem;cephalosporin;cephamycin;diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;glycylcycline;macrolide_antibiotic;monobactam;penam;penem;peptide_antibiotic;phenicol_antibiotic;sulfonamide_antibiotic;tetracycline_antibiotic;triclosan	antibiotic_efflux	erythromycin;ciprofloxacin;tetracycline;ceftazidime;ceftriaxone;amoxicillin;meropenem;novobiocin;azithromycin;trimethoprim;sulfamethoxazole;chloramphenicol;aztreonam;colistin_A;colistin_B;ampicillin;nalidixic_acid;panipenem;ticarcillin;trimethoprim-sulfamethoxazole	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	Unassigned	36516	AE004091.2	Pseudomonas aeruginosa PAO1	1152
